control_id,frontend_name,frontend_category,api_json_path,db_table,db_column_or_json_path,db_key_or_join,link_status,value_policy,null_policy,note
svg-reagent-s13,试剂_S13,试剂区,"$.digitalTwinPayload.items[?name==""试剂_S13""].level",reagent_rack_positions + reagent_rack_placements + reagent_bottles,"code,row_no,column_no,scanner_channel_no,remaining_volume_ul,initial_volume_ul,status",frontend 试剂_S13 -> DB R3,partial,position/status/level from DB; missing bottle/placement -> null,数据库表/行/字段/JSON key 不存在时返回 null，不再使用随机数或前端推算默认值。,位置表可关联；余量依赖 active placement 和 reagent_bottles，未放瓶则 null。
svg-reagent-s23,试剂_S23,试剂区,"$.digitalTwinPayload.items[?name==""试剂_S23""].level",reagent_rack_positions + reagent_rack_placements + reagent_bottles,"code,row_no,column_no,scanner_channel_no,remaining_volume_ul,initial_volume_ul,status",frontend 试剂_S23 -> DB R11,partial,position/status/level from DB; missing bottle/placement -> null,数据库表/行/字段/JSON key 不存在时返回 null，不再使用随机数或前端推算默认值。,位置表可关联；余量依赖 active placement 和 reagent_bottles，未放瓶则 null。
svg-reagent-s33,试剂_S33,试剂区,"$.digitalTwinPayload.items[?name==""试剂_S33""].level",reagent_rack_positions + reagent_rack_placements + reagent_bottles,"code,row_no,column_no,scanner_channel_no,remaining_volume_ul,initial_volume_ul,status",frontend 试剂_S33 -> DB R19,partial,position/status/level from DB; missing bottle/placement -> null,数据库表/行/字段/JSON key 不存在时返回 null，不再使用随机数或前端推算默认值。,位置表可关联；余量依赖 active placement 和 reagent_bottles，未放瓶则 null。
svg-reagent-s43,试剂_S43,试剂区,"$.digitalTwinPayload.items[?name==""试剂_S43""].level",reagent_rack_positions + reagent_rack_placements + reagent_bottles,"code,row_no,column_no,scanner_channel_no,remaining_volume_ul,initial_volume_ul,status",frontend 试剂_S43 -> DB R27,partial,position/status/level from DB; missing bottle/placement -> null,数据库表/行/字段/JSON key 不存在时返回 null，不再使用随机数或前端推算默认值。,位置表可关联；余量依赖 active placement 和 reagent_bottles，未放瓶则 null。
svg-reagent-s53,试剂_S53,试剂区,"$.digitalTwinPayload.items[?name==""试剂_S53""].level",reagent_rack_positions + reagent_rack_placements + reagent_bottles,"code,row_no,column_no,scanner_channel_no,remaining_volume_ul,initial_volume_ul,status",frontend 试剂_S53 -> DB R35,partial,position/status/level from DB; missing bottle/placement -> null,数据库表/行/字段/JSON key 不存在时返回 null，不再使用随机数或前端推算默认值。,位置表可关联；余量依赖 active placement 和 reagent_bottles，未放瓶则 null。
svg-reagent-s14,试剂_S14,试剂区,"$.digitalTwinPayload.items[?name==""试剂_S14""].level",reagent_rack_positions + reagent_rack_placements + reagent_bottles,"code,row_no,column_no,scanner_channel_no,remaining_volume_ul,initial_volume_ul,status",frontend 试剂_S14 -> DB R4,partial,position/status/level from DB; missing bottle/placement -> null,数据库表/行/字段/JSON key 不存在时返回 null，不再使用随机数或前端推算默认值。,位置表可关联；余量依赖 active placement 和 reagent_bottles，未放瓶则 null。
svg-reagent-s24,试剂_S24,试剂区,"$.digitalTwinPayload.items[?name==""试剂_S24""].level",reagent_rack_positions + reagent_rack_placements + reagent_bottles,"code,row_no,column_no,scanner_channel_no,remaining_volume_ul,initial_volume_ul,status",frontend 试剂_S24 -> DB R12,partial,position/status/level from DB; missing bottle/placement -> null,数据库表/行/字段/JSON key 不存在时返回 null，不再使用随机数或前端推算默认值。,位置表可关联；余量依赖 active placement 和 reagent_bottles，未放瓶则 null。
svg-reagent-s34,试剂_S34,试剂区,"$.digitalTwinPayload.items[?name==""试剂_S34""].level",reagent_rack_positions + reagent_rack_placements + reagent_bottles,"code,row_no,column_no,scanner_channel_no,remaining_volume_ul,initial_volume_ul,status",frontend 试剂_S34 -> DB R20,partial,position/status/level from DB; missing bottle/placement -> null,数据库表/行/字段/JSON key 不存在时返回 null，不再使用随机数或前端推算默认值。,位置表可关联；余量依赖 active placement 和 reagent_bottles，未放瓶则 null。
svg-reagent-s44,试剂_S44,试剂区,"$.digitalTwinPayload.items[?name==""试剂_S44""].level",reagent_rack_positions + reagent_rack_placements + reagent_bottles,"code,row_no,column_no,scanner_channel_no,remaining_volume_ul,initial_volume_ul,status",frontend 试剂_S44 -> DB R28,partial,position/status/level from DB; missing bottle/placement -> null,数据库表/行/字段/JSON key 不存在时返回 null，不再使用随机数或前端推算默认值。,位置表可关联；余量依赖 active placement 和 reagent_bottles，未放瓶则 null。
svg-reagent-s54,试剂_S54,试剂区,"$.digitalTwinPayload.items[?name==""试剂_S54""].level",reagent_rack_positions + reagent_rack_placements + reagent_bottles,"code,row_no,column_no,scanner_channel_no,remaining_volume_ul,initial_volume_ul,status",frontend 试剂_S54 -> DB R36,partial,position/status/level from DB; missing bottle/placement -> null,数据库表/行/字段/JSON key 不存在时返回 null，不再使用随机数或前端推算默认值。,位置表可关联；余量依赖 active placement 和 reagent_bottles，未放瓶则 null。
svg-reagent-s15,试剂_S15,试剂区,"$.digitalTwinPayload.items[?name==""试剂_S15""].level",reagent_rack_positions + reagent_rack_placements + reagent_bottles,"code,row_no,column_no,scanner_channel_no,remaining_volume_ul,initial_volume_ul,status",frontend 试剂_S15 -> DB R5,partial,position/status/level from DB; missing bottle/placement -> null,数据库表/行/字段/JSON key 不存在时返回 null，不再使用随机数或前端推算默认值。,位置表可关联；余量依赖 active placement 和 reagent_bottles，未放瓶则 null。
svg-reagent-s25,试剂_S25,试剂区,"$.digitalTwinPayload.items[?name==""试剂_S25""].level",reagent_rack_positions + reagent_rack_placements + reagent_bottles,"code,row_no,column_no,scanner_channel_no,remaining_volume_ul,initial_volume_ul,status",frontend 试剂_S25 -> DB R13,partial,position/status/level from DB; missing bottle/placement -> null,数据库表/行/字段/JSON key 不存在时返回 null，不再使用随机数或前端推算默认值。,位置表可关联；余量依赖 active placement 和 reagent_bottles，未放瓶则 null。
svg-reagent-s35,试剂_S35,试剂区,"$.digitalTwinPayload.items[?name==""试剂_S35""].level",reagent_rack_positions + reagent_rack_placements + reagent_bottles,"code,row_no,column_no,scanner_channel_no,remaining_volume_ul,initial_volume_ul,status",frontend 试剂_S35 -> DB R21,partial,position/status/level from DB; missing bottle/placement -> null,数据库表/行/字段/JSON key 不存在时返回 null，不再使用随机数或前端推算默认值。,位置表可关联；余量依赖 active placement 和 reagent_bottles，未放瓶则 null。
svg-reagent-s45,试剂_S45,试剂区,"$.digitalTwinPayload.items[?name==""试剂_S45""].level",reagent_rack_positions + reagent_rack_placements + reagent_bottles,"code,row_no,column_no,scanner_channel_no,remaining_volume_ul,initial_volume_ul,status",frontend 试剂_S45 -> DB R29,partial,position/status/level from DB; missing bottle/placement -> null,数据库表/行/字段/JSON key 不存在时返回 null，不再使用随机数或前端推算默认值。,位置表可关联；余量依赖 active placement 和 reagent_bottles，未放瓶则 null。
svg-reagent-s55,试剂_S55,试剂区,"$.digitalTwinPayload.items[?name==""试剂_S55""].level",reagent_rack_positions + reagent_rack_placements + reagent_bottles,"code,row_no,column_no,scanner_channel_no,remaining_volume_ul,initial_volume_ul,status",frontend 试剂_S55 -> DB R37,partial,position/status/level from DB; missing bottle/placement -> null,数据库表/行/字段/JSON key 不存在时返回 null，不再使用随机数或前端推算默认值。,位置表可关联；余量依赖 active placement 和 reagent_bottles，未放瓶则 null。
svg-reagent-s16,试剂_S16,试剂区,"$.digitalTwinPayload.items[?name==""试剂_S16""].level",reagent_rack_positions + reagent_rack_placements + reagent_bottles,"code,row_no,column_no,scanner_channel_no,remaining_volume_ul,initial_volume_ul,status",frontend 试剂_S16 -> DB R6,partial,position/status/level from DB; missing bottle/placement -> null,数据库表/行/字段/JSON key 不存在时返回 null，不再使用随机数或前端推算默认值。,位置表可关联；余量依赖 active placement 和 reagent_bottles，未放瓶则 null。
svg-reagent-s26,试剂_S26,试剂区,"$.digitalTwinPayload.items[?name==""试剂_S26""].level",reagent_rack_positions + reagent_rack_placements + reagent_bottles,"code,row_no,column_no,scanner_channel_no,remaining_volume_ul,initial_volume_ul,status",frontend 试剂_S26 -> DB R14,partial,position/status/level from DB; missing bottle/placement -> null,数据库表/行/字段/JSON key 不存在时返回 null，不再使用随机数或前端推算默认值。,位置表可关联；余量依赖 active placement 和 reagent_bottles，未放瓶则 null。
svg-reagent-s36,试剂_S36,试剂区,"$.digitalTwinPayload.items[?name==""试剂_S36""].level",reagent_rack_positions + reagent_rack_placements + reagent_bottles,"code,row_no,column_no,scanner_channel_no,remaining_volume_ul,initial_volume_ul,status",frontend 试剂_S36 -> DB R22,partial,position/status/level from DB; missing bottle/placement -> null,数据库表/行/字段/JSON key 不存在时返回 null，不再使用随机数或前端推算默认值。,位置表可关联；余量依赖 active placement 和 reagent_bottles，未放瓶则 null。
svg-reagent-s46,试剂_S46,试剂区,"$.digitalTwinPayload.items[?name==""试剂_S46""].level",reagent_rack_positions + reagent_rack_placements + reagent_bottles,"code,row_no,column_no,scanner_channel_no,remaining_volume_ul,initial_volume_ul,status",frontend 试剂_S46 -> DB R30,partial,position/status/level from DB; missing bottle/placement -> null,数据库表/行/字段/JSON key 不存在时返回 null，不再使用随机数或前端推算默认值。,位置表可关联；余量依赖 active placement 和 reagent_bottles，未放瓶则 null。
svg-reagent-s56,试剂_S56,试剂区,"$.digitalTwinPayload.items[?name==""试剂_S56""].level",reagent_rack_positions + reagent_rack_placements + reagent_bottles,"code,row_no,column_no,scanner_channel_no,remaining_volume_ul,initial_volume_ul,status",frontend 试剂_S56 -> DB R38,partial,position/status/level from DB; missing bottle/placement -> null,数据库表/行/字段/JSON key 不存在时返回 null，不再使用随机数或前端推算默认值。,位置表可关联；余量依赖 active placement 和 reagent_bottles，未放瓶则 null。
svg-reagent-s17,试剂_S17,试剂区,"$.digitalTwinPayload.items[?name==""试剂_S17""].level",reagent_rack_positions + reagent_rack_placements + reagent_bottles,"code,row_no,column_no,scanner_channel_no,remaining_volume_ul,initial_volume_ul,status",frontend 试剂_S17 -> DB R7,partial,position/status/level from DB; missing bottle/placement -> null,数据库表/行/字段/JSON key 不存在时返回 null，不再使用随机数或前端推算默认值。,位置表可关联；余量依赖 active placement 和 reagent_bottles，未放瓶则 null。
svg-reagent-s27,试剂_S27,试剂区,"$.digitalTwinPayload.items[?name==""试剂_S27""].level",reagent_rack_positions + reagent_rack_placements + reagent_bottles,"code,row_no,column_no,scanner_channel_no,remaining_volume_ul,initial_volume_ul,status",frontend 试剂_S27 -> DB R15,partial,position/status/level from DB; missing bottle/placement -> null,数据库表/行/字段/JSON key 不存在时返回 null，不再使用随机数或前端推算默认值。,位置表可关联；余量依赖 active placement 和 reagent_bottles，未放瓶则 null。
svg-reagent-s37,试剂_S37,试剂区,"$.digitalTwinPayload.items[?name==""试剂_S37""].level",reagent_rack_positions + reagent_rack_placements + reagent_bottles,"code,row_no,column_no,scanner_channel_no,remaining_volume_ul,initial_volume_ul,status",frontend 试剂_S37 -> DB R23,partial,position/status/level from DB; missing bottle/placement -> null,数据库表/行/字段/JSON key 不存在时返回 null，不再使用随机数或前端推算默认值。,位置表可关联；余量依赖 active placement 和 reagent_bottles，未放瓶则 null。
svg-reagent-s47,试剂_S47,试剂区,"$.digitalTwinPayload.items[?name==""试剂_S47""].level",reagent_rack_positions + reagent_rack_placements + reagent_bottles,"code,row_no,column_no,scanner_channel_no,remaining_volume_ul,initial_volume_ul,status",frontend 试剂_S47 -> DB R31,partial,position/status/level from DB; missing bottle/placement -> null,数据库表/行/字段/JSON key 不存在时返回 null，不再使用随机数或前端推算默认值。,位置表可关联；余量依赖 active placement 和 reagent_bottles，未放瓶则 null。
svg-reagent-s57,试剂_S57,试剂区,"$.digitalTwinPayload.items[?name==""试剂_S57""].level",reagent_rack_positions + reagent_rack_placements + reagent_bottles,"code,row_no,column_no,scanner_channel_no,remaining_volume_ul,initial_volume_ul,status",frontend 试剂_S57 -> DB R39,partial,position/status/level from DB; missing bottle/placement -> null,数据库表/行/字段/JSON key 不存在时返回 null，不再使用随机数或前端推算默认值。,位置表可关联；余量依赖 active placement 和 reagent_bottles，未放瓶则 null。
svg-reagent-s18,试剂_S18,试剂区,"$.digitalTwinPayload.items[?name==""试剂_S18""].level",reagent_rack_positions + reagent_rack_placements + reagent_bottles,"code,row_no,column_no,scanner_channel_no,remaining_volume_ul,initial_volume_ul,status",frontend 试剂_S18 -> DB R8,partial,position/status/level from DB; missing bottle/placement -> null,数据库表/行/字段/JSON key 不存在时返回 null，不再使用随机数或前端推算默认值。,位置表可关联；余量依赖 active placement 和 reagent_bottles，未放瓶则 null。
svg-reagent-s28,试剂_S28,试剂区,"$.digitalTwinPayload.items[?name==""试剂_S28""].level",reagent_rack_positions + reagent_rack_placements + reagent_bottles,"code,row_no,column_no,scanner_channel_no,remaining_volume_ul,initial_volume_ul,status",frontend 试剂_S28 -> DB R16,partial,position/status/level from DB; missing bottle/placement -> null,数据库表/行/字段/JSON key 不存在时返回 null，不再使用随机数或前端推算默认值。,位置表可关联；余量依赖 active placement 和 reagent_bottles，未放瓶则 null。
svg-reagent-s38,试剂_S38,试剂区,"$.digitalTwinPayload.items[?name==""试剂_S38""].level",reagent_rack_positions + reagent_rack_placements + reagent_bottles,"code,row_no,column_no,scanner_channel_no,remaining_volume_ul,initial_volume_ul,status",frontend 试剂_S38 -> DB R24,partial,position/status/level from DB; missing bottle/placement -> null,数据库表/行/字段/JSON key 不存在时返回 null，不再使用随机数或前端推算默认值。,位置表可关联；余量依赖 active placement 和 reagent_bottles，未放瓶则 null。
svg-reagent-s48,试剂_S48,试剂区,"$.digitalTwinPayload.items[?name==""试剂_S48""].level",reagent_rack_positions + reagent_rack_placements + reagent_bottles,"code,row_no,column_no,scanner_channel_no,remaining_volume_ul,initial_volume_ul,status",frontend 试剂_S48 -> DB R32,partial,position/status/level from DB; missing bottle/placement -> null,数据库表/行/字段/JSON key 不存在时返回 null，不再使用随机数或前端推算默认值。,位置表可关联；余量依赖 active placement 和 reagent_bottles，未放瓶则 null。
svg-reagent-s58,试剂_S58,试剂区,"$.digitalTwinPayload.items[?name==""试剂_S58""].level",reagent_rack_positions + reagent_rack_placements + reagent_bottles,"code,row_no,column_no,scanner_channel_no,remaining_volume_ul,initial_volume_ul,status",frontend 试剂_S58 -> DB R40,partial,position/status/level from DB; missing bottle/placement -> null,数据库表/行/字段/JSON key 不存在时返回 null，不再使用随机数或前端推算默认值。,位置表可关联；余量依赖 active placement 和 reagent_bottles，未放瓶则 null。
svg-wash-outer-row-1,洗针头_左列_洗外壁_R1,洗针头,$.control_values.svg-wash-outer-row-1,wash_positions / liquid_container_states,"code,wash_type,current_volume_ul,capacity_ul,level_status",by category/channel,partial,container state where available; per-hole engineering values -> null,数据库表/行/字段/JSON key 不存在时返回 null，不再使用随机数或前端推算默认值。,系统液/废液容器可关联；每个 SVG 孔位的出水温度/流量无独立表。
svg-wash-inner-row-1,洗针头_右列_洗内壁_R1,洗针头,$.control_values.svg-wash-inner-row-1,wash_positions / liquid_container_states,"code,wash_type,current_volume_ul,capacity_ul,level_status",by category/channel,partial,container state where available; per-hole engineering values -> null,数据库表/行/字段/JSON key 不存在时返回 null，不再使用随机数或前端推算默认值。,系统液/废液容器可关联；每个 SVG 孔位的出水温度/流量无独立表。
svg-wash-outer-row-2,洗针头_左列_洗外壁_R2,洗针头,$.control_values.svg-wash-outer-row-2,wash_positions / liquid_container_states,"code,wash_type,current_volume_ul,capacity_ul,level_status",by category/channel,partial,container state where available; per-hole engineering values -> null,数据库表/行/字段/JSON key 不存在时返回 null，不再使用随机数或前端推算默认值。,系统液/废液容器可关联；每个 SVG 孔位的出水温度/流量无独立表。
svg-wash-inner-row-2,洗针头_右列_洗内壁_R2,洗针头,$.control_values.svg-wash-inner-row-2,wash_positions / liquid_container_states,"code,wash_type,current_volume_ul,capacity_ul,level_status",by category/channel,partial,container state where available; per-hole engineering values -> null,数据库表/行/字段/JSON key 不存在时返回 null，不再使用随机数或前端推算默认值。,系统液/废液容器可关联；每个 SVG 孔位的出水温度/流量无独立表。
svg-mix-p11,配液_R1_C1,混合液体配液区,$.control_values.svg-mix-p11,dab_mix_positions + dab_batches,"code,position_no,status,active_dab_batch_id,expires_at_utc,remaining_volume_ul",frontend 配液_R1_C1 -> DB M1,partial,status/active batch from DB; no active batch -> countdown null,数据库表/行/字段/JSON key 不存在时返回 null，不再使用随机数或前端推算默认值。,配液孔位可关联；示例库 DAB 批次为空或未占用时有效期倒计时为 null。
svg-mix-p12,配液_R1_C2,混合液体配液区,$.control_values.svg-mix-p12,dab_mix_positions + dab_batches,"code,position_no,status,active_dab_batch_id,expires_at_utc,remaining_volume_ul",frontend 配液_R1_C2 -> DB M2,partial,status/active batch from DB; no active batch -> countdown null,数据库表/行/字段/JSON key 不存在时返回 null，不再使用随机数或前端推算默认值。,配液孔位可关联；示例库 DAB 批次为空或未占用时有效期倒计时为 null。
svg-mix-p21,配液_R2_C1,混合液体配液区,$.control_values.svg-mix-p21,dab_mix_positions + dab_batches,"code,position_no,status,active_dab_batch_id,expires_at_utc,remaining_volume_ul",frontend 配液_R2_C1 -> DB M3,partial,status/active batch from DB; no active batch -> countdown null,数据库表/行/字段/JSON key 不存在时返回 null，不再使用随机数或前端推算默认值。,配液孔位可关联；示例库 DAB 批次为空或未占用时有效期倒计时为 null。
svg-mix-p22,配液_R2_C2,混合液体配液区,$.control_values.svg-mix-p22,dab_mix_positions + dab_batches,"code,position_no,status,active_dab_batch_id,expires_at_utc,remaining_volume_ul",frontend 配液_R2_C2 -> DB M4,partial,status/active batch from DB; no active batch -> countdown null,数据库表/行/字段/JSON key 不存在时返回 null，不再使用随机数或前端推算默认值。,配液孔位可关联；示例库 DAB 批次为空或未占用时有效期倒计时为 null。
svg-mix-p31,配液_R3_C1,混合液体配液区,$.control_values.svg-mix-p31,dab_mix_positions + dab_batches,"code,position_no,status,active_dab_batch_id,expires_at_utc,remaining_volume_ul",frontend 配液_R3_C1 -> DB M5,partial,status/active batch from DB; no active batch -> countdown null,数据库表/行/字段/JSON key 不存在时返回 null，不再使用随机数或前端推算默认值。,配液孔位可关联；示例库 DAB 批次为空或未占用时有效期倒计时为 null。
svg-mix-p32,配液_R3_C2,混合液体配液区,$.control_values.svg-mix-p32,dab_mix_positions + dab_batches,"code,position_no,status,active_dab_batch_id,expires_at_utc,remaining_volume_ul",frontend 配液_R3_C2 -> DB M6,partial,status/active batch from DB; no active batch -> countdown null,数据库表/行/字段/JSON key 不存在时返回 null，不再使用随机数或前端推算默认值。,配液孔位可关联；示例库 DAB 批次为空或未占用时有效期倒计时为 null。
svg-mix-p41,配液_R4_C1,混合液体配液区,$.control_values.svg-mix-p41,dab_mix_positions + dab_batches,"code,position_no,status,active_dab_batch_id,expires_at_utc,remaining_volume_ul",frontend 配液_R4_C1 -> DB M7,partial,status/active batch from DB; no active batch -> countdown null,数据库表/行/字段/JSON key 不存在时返回 null，不再使用随机数或前端推算默认值。,配液孔位可关联；示例库 DAB 批次为空或未占用时有效期倒计时为 null。
svg-mix-p42,配液_R4_C2,混合液体配液区,$.control_values.svg-mix-p42,dab_mix_positions + dab_batches,"code,position_no,status,active_dab_batch_id,expires_at_utc,remaining_volume_ul",frontend 配液_R4_C2 -> DB M8,partial,status/active batch from DB; no active batch -> countdown null,数据库表/行/字段/JSON key 不存在时返回 null，不再使用随机数或前端推算默认值。,配液孔位可关联；示例库 DAB 批次为空或未占用时有效期倒计时为 null。
svg-liquid-a,A液,A/B液,$.control_values.svg-liquid-a,coordinate_points,"point_code,point_type",A液 -> DabA; B液 -> DabB,partial,coordinate metadata from DB; liquid volume unavailable -> null,数据库表/行/字段/JSON key 不存在时返回 null，不再使用随机数或前端推算默认值。,库中只有 DabA/DabB 坐标点，没有 A/B 液瓶实时液量表。
svg-liquid-b,B液,A/B液,$.control_values.svg-liquid-b,coordinate_points,"point_code,point_type",A液 -> DabA; B液 -> DabB,partial,coordinate metadata from DB; liquid volume unavailable -> null,数据库表/行/字段/JSON key 不存在时返回 null，不再使用随机数或前端推算默认值。,库中只有 DabA/DabB 坐标点，没有 A/B 液瓶实时液量表。
svg-motor-m1,混匀电机_1,混匀电机,$.control_values.svg-motor-m1,,,,unlinked,null,数据库表/行/字段/JSON key 不存在时返回 null，不再使用随机数或前端推算默认值。,当前类别未建立可验证映射，API 返回 null。
svg-motor-m2,混匀电机_2,混匀电机,$.control_values.svg-motor-m2,,,,unlinked,null,数据库表/行/字段/JSON key 不存在时返回 null，不再使用随机数或前端推算默认值。,当前类别未建立可验证映射，API 返回 null。
svg-motor-m3,混匀电机_3,混匀电机,$.control_values.svg-motor-m3,,,,unlinked,null,数据库表/行/字段/JSON key 不存在时返回 null，不再使用随机数或前端推算默认值。,当前类别未建立可验证映射，API 返回 null。
svg-motor-m4,混匀电机_4,混匀电机,$.control_values.svg-motor-m4,,,,unlinked,null,数据库表/行/字段/JSON key 不存在时返回 null，不再使用随机数或前端推算默认值。,当前类别未建立可验证映射，API 返回 null。
svg-slide-r11,R11,玻片通道,"$.digitalTwinPayload.slideTemps[?name==""R11""].temp",physical_slots + thermal_point_states + slide_tasks + staining_tasks,"code,slot_no,drawer_code,current_temperature_deci_c,target_temperature_deci_c,status",frontend R11 -> DB A-01,partial,temperature/status from DB; no task -> null,数据库表/行/字段/JSON key 不存在时返回 null，不再使用随机数或前端推算默认值。,槽位和温度可关联；样本扫码/LIS 示例表为空时条码字段 null。
svg-slide-r12,R12,玻片通道,"$.digitalTwinPayload.slideTemps[?name==""R12""].temp",physical_slots + thermal_point_states + slide_tasks + staining_tasks,"code,slot_no,drawer_code,current_temperature_deci_c,target_temperature_deci_c,status",frontend R12 -> DB A-02,partial,temperature/status from DB; no task -> null,数据库表/行/字段/JSON key 不存在时返回 null，不再使用随机数或前端推算默认值。,槽位和温度可关联；样本扫码/LIS 示例表为空时条码字段 null。
svg-slide-r13,R13,玻片通道,"$.digitalTwinPayload.slideTemps[?name==""R13""].temp",physical_slots + thermal_point_states + slide_tasks + staining_tasks,"code,slot_no,drawer_code,current_temperature_deci_c,target_temperature_deci_c,status",frontend R13 -> DB A-03,partial,temperature/status from DB; no task -> null,数据库表/行/字段/JSON key 不存在时返回 null，不再使用随机数或前端推算默认值。,槽位和温度可关联；样本扫码/LIS 示例表为空时条码字段 null。
svg-slide-r14,R14,玻片通道,"$.digitalTwinPayload.slideTemps[?name==""R14""].temp",physical_slots + thermal_point_states + slide_tasks + staining_tasks,"code,slot_no,drawer_code,current_temperature_deci_c,target_temperature_deci_c,status",frontend R14 -> DB A-04,partial,temperature/status from DB; no task -> null,数据库表/行/字段/JSON key 不存在时返回 null，不再使用随机数或前端推算默认值。,槽位和温度可关联；样本扫码/LIS 示例表为空时条码字段 null。
