序号,类别,名称,行,列,x_mm,y_mm,形状,半径_mm,宽度_mm,高度_mm,备注
34,试剂区,试剂_S34,7,4,241.25,166.5,circle,10.0,,,5x8试剂圆中心；编号S1~S40按图面从左到右、从上到下顺序；列号为图面从左到右，行号为图面从上到下
35,试剂区,试剂_S35,7,5,216.25,166.5,circle,10.0,,,5x8试剂圆中心；编号S1~S40按图面从左到右、从上到下顺序；列号为图面从左到右，行号为图面从上到下
36,试剂区,试剂_S36,8,1,316.25,191.5,circle,10.0,,,5x8试剂圆中心；编号S1~S40按图面从左到右、从上到下顺序；列号为图面从左到右，行号为图面从上到下
37,试剂区,试剂_S37,8,2,291.25,191.5,circle,10.0,,,5x8试剂圆中心；编号S1~S40按图面从左到右、从上到下顺序；列号为图面从左到右，行号为图面从上到下
38,试剂区,试剂_S38,8,3,266.25,191.5,circle,10.0,,,5x8试剂圆中心；编号S1~S40按图面从左到右、从上到下顺序；列号为图面从左到右，行号为图面从上到下
39,试剂区,试剂_S39,8,4,241.25,191.5,circle,10.0,,,5x8试剂圆中心；编号S1~S40按图面从左到右、从上到下顺序；列号为图面从左到右，行号为图面从上到下
40,试剂区,试剂_S40,8,5,216.25,191.5,circle,10.0,,,5x8试剂圆中心；编号S1~S40按图面从左到右、从上到下顺序；列号为图面从左到右，行号为图面从上到下
41,洗针头,洗针头_左列_洗外壁_R1,1,1,184.75,17.0,circle,2.0,,,2x2洗针头圆中心；右列=洗内壁，左列=洗外壁
42,洗针头,洗针头_右列_洗内壁_R1,1,2,177.75,17.0,circle,2.0,,,2x2洗针头圆中心；右列=洗内壁，左列=洗外壁
43,洗针头,洗针头_左列_洗外壁_R2,2,1,184.75,42.0,circle,2.0,,,2x2洗针头圆中心；右列=洗内壁，左列=洗外壁
44,洗针头,洗针头_右列_洗内壁_R2,2,2,177.75,42.0,circle,2.0,,,2x2洗针头圆中心；右列=洗内壁，左列=洗外壁
45,混合液体配液区,配液_R1_C1,1,1,184.75,66.5,circle,4.25,,,2x4配液圆中心；列号为图面从左到右，行号为图面从上到下
46,混合液体配液区,配液_R1_C2,1,2,170.75,66.5,circle,4.25,,,2x4配液圆中心；列号为图面从左到右，行号为图面从上到下
47,混合液体配液区,配液_R2_C1,2,1,184.75,91.5,circle,4.25,,,2x4配液圆中心；列号为图面从左到右，行号为图面从上到下
48,混合液体配液区,配液_R2_C2,2,2,170.75,91.5,circle,4.25,,,2x4配液圆中心；列号为图面从左到右，行号为图面从上到下
49,混合液体配液区,配液_R3_C1,3,1,184.75,116.5,circle,4.25,,,2x4配液圆中心；列号为图面从左到右，行号为图面从上到下
50,混合液体配液区,配液_R3_C2,3,2,170.75,116.5,circle,4.25,,,2x4配液圆中心；列号为图面从左到右，行号为图面从上到下
51,混合液体配液区,配液_R4_C1,4,1,184.75,141.5,circle,4.25,,,2x4配液圆中心；列号为图面从左到右，行号为图面从上到下
52,混合液体配液区,配液_R4_C2,4,2,170.75,141.5,circle,4.25,,,2x4配液圆中心；列号为图面从左到右，行号为图面从上到下
53,A/B液,A液,1,1,177.75,166.5,circle,10.0,,,1x2大圆，上方
54,A/B液,B液,2,1,177.75,191.5,circle,10.0,,,1x2大圆，下方
55,混匀电机,混匀电机_1,,1,135.25,16.5,square,,,,右侧区域上方四个方块；输出为中心点，半径为空
56,混匀电机,混匀电机_2,,2,85.25,16.5,square,,,,右侧区域上方四个方块；输出为中心点，半径为空
57,混匀电机,混匀电机_3,,3,35.25,16.5,square,,,,右侧区域上方四个方块；输出为中心点，半径为空
58,混匀电机,混匀电机_4,,4,-14.75,16.5,square,,,,右侧区域上方四个方块；输出为中心点，半径为空
59,玻片通道,R11,1,1,135.25,116.5,square,,10.00,10.00,右侧区域下方长条内玻片中心；编号Rxy：x=通道号，y=从上到下第y张；例如R14为通道1最下面一张玻片；坐标为正方形中心点
60,玻片通道,R12,2,1,135.25,141.5,square,,10.00,10.00,右侧区域下方长条内玻片中心；编号Rxy：x=通道号，y=从上到下第y张；例如R14为通道1最下面一张玻片；坐标为正方形中心点
61,玻片通道,R13,3,1,135.25,166.5,square,,10.00,10.00,右侧区域下方长条内玻片中心；编号Rxy：x=通道号，y=从上到下第y张；例如R14为通道1最下面一张玻片；坐标为正方形中心点
62,玻片通道,R14,4,1,135.25,191.5,square,,10.00,10.00,右侧区域下方长条内玻片中心；编号Rxy：x=通道号，y=从上到下第y张；例如R14为通道1最下面一张玻片；坐标为正方形中心点
63,玻片通道,R21,1,2,85.25,116.5,square,,10.00,10.00,右侧区域下方长条内玻片中心；编号Rxy：x=通道号，y=从上到下第y张；例如R14为通道1最下面一张玻片；坐标为正方形中心点
64,玻片通道,R22,2,2,85.25,141.5,square,,10.00,10.00,右侧区域下方长条内玻片中心；编号Rxy：x=通道号，y=从上到下第y张；例如R14为通道1最下面一张玻片；坐标为正方形中心点
65,玻片通道,R23,3,2,85.25,166.5,square,,10.00,10.00,右侧区域下方长条内玻片中心；编号Rxy：x=通道号，y=从上到下第y张；例如R14为通道1最下面一张玻片；坐标为正方形中心点
66,玻片通道,R24,4,2,85.25,191.5,square,,10.00,10.00,右侧区域下方长条内玻片中心；编号Rxy：x=通道号，y=从上到下第y张；例如R14为通道1最下面一张玻片；坐标为正方形中心点
67,玻片通道,R31,1,3,35.25,116.5,square,,10.00,10.00,右侧区域下方长条内玻片中心；编号Rxy：x=通道号，y=从上到下第y张；例如R14为通道1最下面一张玻片；坐标为正方形中心点
68,玻片通道,R32,2,3,35.25,141.5,square,,10.00,10.00,右侧区域下方长条内玻片中心；编号Rxy：x=通道号，y=从上到下第y张；例如R14为通道1最下面一张玻片；坐标为正方形中心点
69,玻片通道,R33,3,3,35.25,166.5,square,,10.00,10.00,右侧区域下方长条内玻片中心；编号Rxy：x=通道号，y=从上到下第y张；例如R14为通道1最下面一张玻片；坐标为正方形中心点
70,玻片通道,R34,4,3,35.25,191.5,square,,10.00,10.00,右侧区域下方长条内玻片中心；编号Rxy：x=通道号，y=从上到下第y张；例如R14为通道1最下面一张玻片；坐标为正方形中心点
71,玻片通道,R41,1,4,-14.75,116.5,square,,10.00,10.00,右侧区域下方长条内玻片中心；编号Rxy：x=通道号，y=从上到下第y张；例如R14为通道1最下面一张玻片；坐标为正方形中心点
72,玻片通道,R42,2,4,-14.75,141.5,square,,10.00,10.00,右侧区域下方长条内玻片中心；编号Rxy：x=通道号，y=从上到下第y张；例如R14为通道1最下面一张玻片；坐标为正方形中心点
73,玻片通道,R43,3,4,-14.75,166.5,square,,10.00,10.00,右侧区域下方长条内玻片中心；编号Rxy：x=通道号，y=从上到下第y张；例如R14为通道1最下面一张玻片；坐标为正方形中心点
74,玻片通道,R44,4,4,-14.75,191.5,square,,10.00,10.00,右侧区域下方长条内玻片中心；编号Rxy：x=通道号，y=从上到下第y张；例如R14为通道1最下面一张玻片；坐标为正方形中心点
75,废液孔,废液孔_M1,,1,139.85,3.0,circle,2.50,,,固定孔位；位于M1混匀电机上方左侧；与网页端废液孔渲染坐标一致
76,废液孔,废液孔_M2,,2,89.85,3.0,circle,2.50,,,固定孔位；位于M2混匀电机上方左侧；与网页端废液孔渲染坐标一致
77,废液孔,废液孔_M3,,3,39.85,3.0,circle,2.50,,,固定孔位；位于M3混匀电机上方左侧；与网页端废液孔渲染坐标一致
78,废液孔,废液孔_M4,,4,-10.15,3.0,circle,2.50,,,固定孔位；位于M4混匀电机上方左侧；与网页端废液孔渲染坐标一致
79,排毒孔,排毒孔_M1,,1,130.65,3.0,circle,2.50,,,固定孔位；位于M1混匀电机上方右侧；与网页端排毒孔渲染坐标一致
80,排毒孔,排毒孔_M2,,2,80.65,3.0,circle,2.50,,,固定孔位；位于M2混匀电机上方右侧；与网页端排毒孔渲染坐标一致
81,排毒孔,排毒孔_M3,,3,30.65,3.0,circle,2.50,,,固定孔位；位于M3混匀电机上方右侧；与网页端排毒孔渲染坐标一致
82,排毒孔,排毒孔_M4,,4,-19.35,3.0,circle,2.50,,,固定孔位；位于M4混匀电机上方右侧；与网页端排毒孔渲染坐标一致
83,清洗孔,通道1_清洗孔,,1,135.25,217.5,circle,2.80,,,固定孔位；位于通道1下方；与网页端清洗孔渲染坐标一致
84,清洗孔,通道2_清洗孔,,2,85.25,217.5,circle,2.80,,,固定孔位；位于通道2下方；与网页端清洗孔渲染坐标一致
85,清洗孔,通道3_清洗孔,,3,35.25,217.5,circle,2.80,,,固定孔位；位于通道3下方；与网页端清洗孔渲染坐标一致
86,清洗孔,通道4_清洗孔,,4,-14.75,217.5,circle,2.80,,,固定孔位；位于通道4下方；与网页端清洗孔渲染坐标一致
87,相机,试剂扫码相机,,,342.0,211.0,camera,,15.00,9.50,固定坐标；位于试剂区左下角外侧，水平移出试剂区但紧贴区域；用于试剂扫码
88,机械臂相对位置,针头_Z1,,,0.0,0.0,circle,6.00,,,"机械臂相对坐标；以机械臂纵向轴上的Z1针中心为(0,0)，X向左为正，Y向下为正"
89,机械臂相对位置,针头_Z2,,,0.0,25.0,circle,6.00,,,机械臂相对坐标；Z1与Z2纵向间距25mm
90,机械臂相对位置,机械臂随动相机,,,0.0,43.0,camera,,9.30,5.90,机械臂相对坐标；位于两个针头下方并随机械臂整体移动；相机位置按当前SVG比例约为Z1下方43mm
